round,block,reward_from_experimenter,feedback_cost,reward
1,1,0,0,0
2,1,0,0,0
3,1,0,0,0
4,1,0,0,0
5,1,0,0,0
6,1,0,0,0
7,1,0,0,0
8,1,0,0,0
9,1,0,0,0
10,1,0,0,0
11,2,0,10,0
12,2,0,10,0
13,2,0,10,0
14,2,0,10,0
15,2,0,10,0
16,2,0,10,0
17,2,0,10,0
18,2,0,10,0
19,2,0,10,0
20,2,0,10,0
21,3,0,20,0
22,3,0,20,0
23,3,0,20,0
24,3,0,20,0
25,3,0,20,0
26,3,0,20,0
27,3,0,20,0
28,3,0,20,0
29,3,0,20,0
30,3,0,20,0
31,4,0,0,0
32,4,0,0,0
33,4,0,0,0
34,4,0,0,0
35,4,0,0,0
36,4,0,0,0
37,4,0,0,0
38,4,0,0,0
39,4,0,0,0
40,4,0,0,0
